Year,Movie,Revenue,Budget,Summary,Director,Writers,Stars,Production
1988,"The Good Mother,","$4,764,606","$14,000,000",A divorced mother may lose custody of her young daughter to her ex-husband after he learns that the little girl crawled into bed with the mother and her boyfriend.,Leonard Nimoy,"['Michael Bortman', 'Sue Miller']","['Diane Keaton', 'Liam Neeson', 'Jason Robards']","['Touchstone Pictures', 'Silver Screen Partners IV']"
1993,Grumpy Old Men,"£734,203",NA,A lifelong feud between two neighbors since childhood only gets worse when a new female neighbor moves across the street.,Donald Petrie,['Mark Steven Johnson'],"['Jack Lemmon', 'Walter Matthau', 'Ann-Margret']","['John Davis', 'Lancaster Gate', 'Warner Bros.']"
1967,Guess Who's Coming to Dinner,"$56,700,000","$4,000,000",A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.,Stanley Kramer,['William Rose'],"['Spencer Tracy', 'Sidney Poitier', 'Katharine Hepburn']",['Columbia Pictures Corporation']
2000,Romeo Must Die,"£1,379,488","$25,000,000",An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.,Andrzej Bartkowiak,"['Mitchell Kapner', 'Eric Bernt']","['Jet Li', 'Aaliyah', 'Isaiah Washington']","['Warner Bros.', 'Silver Pictures']"
2000,Here on Earth,"ESP 5,854,428","$15,000,000",A rich college kid is taught a lesson after a joy ride ends up destroying a country restaurant.,Mark Piznarski,['Michael Seitzman'],"['Chris Klein', 'Leelee Sobieski', 'Josh Hartnett']","['Fox 2000 Pictures', 'Friendly Productions']"
2000,Whatever It Takes,"ESP 5,765,201","$15,000,000",A modern-day remake of the Cyrano DeBergerac tale.,David Raynr,['Mark Schwahn'],"['Shane West', 'Marla Sokoloff', ""Jodi Lyn O'Keefe""]","['Columbia Pictures Corporation', 'Phoenix Pictures', ""I'll Be You Productions""]"
1999,Buddy Boy,"$10,281",NA,An introvert relieves the tedium of caring for his invalid mother by spying on his neighbor.,Mark Hanlon,['Mark Hanlon'],"['Aidan Gillen', 'Emmanuelle Seigner', 'Susan Tyrrell']","['Independent Pictures (II)', 'Woods Entertainment']"
1999,"Color of Paradise, The (Rang-e Khoda)",NA,NA,NA,NA,NA,NA,NA
1999,Waking the Dead,NA,NA,NA,NA,NA,NA,NA
1989,Blood and Sand (Sangre y Arena),NA,NA,NA,NA,NA,NA,NA
1986,Gothic,"$916,172",NA,The Shelleys visit Lord Byron and compete to write a horror story.,Ken Russell,"['Lord Byron', 'Percy Bysshe Shelley']","['Gabriel Byrne', 'Julian Sands', 'Natasha Richardson']",['Virgin Vision']
1967,Hillbillys in a Haunted House,NA,"$200,000","Country singers on their way to Nashville have car trouble, forcing them to stop at an old haunted mansion. Soon they realize that the house is not only haunted, but is also the ...
                    See full summary »",Jean Yarbrough,"['Duke Yelton', 'Duke Yelton']","['Ferlin Husky', 'Joi Lansing', 'Don Bowman']",['Woolner Brothers Pictures Inc.']
1963,Lord of the Flies,NA,"$250,000","Lost on an island, young survivors of a plane crash eventually revert to savagery despite the few rational boys' attempts to prevent that.",Peter Brook,['William Golding'],"['James Aubrey', 'Tom Chapin', 'Hugh Edwards']",['Two Arts Ltd.']
1936,Modern Times,"$163,245","$1,500,000",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,['Charles Chaplin'],"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman']",['Charles Chaplin Productions']
1994,Last Resort,NA,NA,"Sam and Dave are living the boring life until they are beckoned to Sam's uncle's Island. When they get there (still not quite sure how that worked) they are compelled by beautiful women and...
                    See full summary »",Rafal Zielinski,"['Patrick Labyorteaux', 'Patrick Labyorteaux']","['Corey Feldman', 'Corey Haim', 'Maureen Flannigan']","['Amritraj Productions', 'Rose & Ruby Productions']"
1993,Solar Crisis,NA,NA,NA,NA,NA,NA,NA
